"null","null","null","null"
"2002","Stuart Rackham","Text editor","Output to XHTML, HTML, DocBook (which can convert to PDF, EPUB, DVI, LaTeX, roff, and PostScript)"
"2010","Wolfram Research","Wolfram Language & Mathematica","CDF Player; CDF format can also be embedded in web pages viewable with conventional browsers."
"2007","","Text editor","Output to HTML, RTF, LaTeX, others; renderers for MFC, others."
"2005","IBM, OASIS","Text/XML editor","Output to HTML, PDF, CHM, javadoc, others."
"1992","The Davenport Group, OASIS","XML editor","Output to HTML, PDF, CHM, javadoc, others."
"1998","Berkeley Project","Text editor","Web browser"
"2000 (January 26)","W3C","Text/XML editor, HTML editor","Web browser"
"1993","Tim Berners-Lee","Text editor, HTML editor","Web browser"
"1996","Han-Wen Nienhuys, Jan Nieuwenhuizen","Text editor, Scorewriter","Output to DVI, PDF, PostScript, PNG, others."
"1986","Frame Technology acquired by Adobe Systems in 1995","Text editor, FrameMaker","FrameMaker"
"2000","Carl Sassenrath","Text editor","Web browser (XHTML or HTML output)"
"2004","John Gruber and Aaron Swartz","Text editor, E-mail client","Web browser (XHTML or HTML output), preview in gedit-markdown-plugin"
"2002[1]","Dean Allen","Text editor","Web browser (XHTML or HTML output), reference and tester (uses latest PHP-Textile version 3.5.5)"
"1999 (July)","W3C","Text/XML editor, TeX converter","Web browser, Word processor"
"1999","The MEI Community","XML editor","Verovio"
"2002","Recordare","Scorewriter","Scorewriter"
"2006","Ecma International, ISO/IEC","Office suite","Office suite"
"2005","OASIS, ISO/IEC","Office suite","Office suite"
"2000","Michael Kohlhase","Text/XML editor[2]","Output to XHTML+MathML, TeX, others."
"2003","Org-mode project","Emacs, text editor","Emacs. Output to HTML, PDF, DocBook, FreeMind, OpenDocument Format (ODF), others."
"2001[3]","David Goodger","Text editor","Output to HTML, LaTeX, PDF, Unix man pages, ODT, S5 (HTML Slide Shows), XML, others."
"2004","W3C","Vector graphics editor","Web browser, etc."
"1968 1971","IBM","Text editor","GDDM, AFP viewer"
"1978 1984","Donald Knuth Leslie Lamport","Text editor","DVI or Portable Document Format (PDF) converter"
"1986","Richard Stallman","Text editor","output to DVI, Portable Document Format (PDF), HTML, DocBook, others."
"1998","Joris van der Hoeven","Text editor/TeXmacs editor","PDF or PostScript files. Converters exist for TeX/LaTeX and XHTML+Mathml"
"1990","Text Encoding Initiative Consortium","Text/XML editor","Web Browser (using XHTML), PDF, Word Processor (using ODF) or EPUB"
"1973","Joe Ossanna","Text editor","groffer, or output to PostScript"
"1999","WAP Forum","Text/XML editor","Mobile browser"
"null","null","null","null"
